"id","trial","easy_hard","build_time"
96569560,"33_Pattern","easy",7.0824859380009
96569560,"30_Number","easy",1.2326727260006
96569560,"31_InitNumber","easy",1.45758401599596
96569560,"23_InitNumber","easy",1.7690330559999
96569560,"22_Number","easy",2.15240483499656
96569560,"36_Distance","easy",13.6958277919985
96569560,"21_Number","easy",2.80819445299858
96569560,"32_Stability","easy",5.16090948200144
96569560,"34_Stability","easy",23.7096609889995
96569560,"28_Stability","easy",17.3326151639994
96569560,"26_Number","easy",3.48889704699832
96569560,"27_Sampling","easy",4.35279547500249
96569560,"24_Stability","easy",6.84872763400199
95623715,"9_InitNumber","easy",1.02880044500012
95623715,"8_Number","easy",5.681362025
95623715,"14_Stability","easy",8.34553448400015
95623715,"16_Number","easy",4.57056992399998
95623715,"12_Number","easy",2.43508948500016
95623715,"10_Stability","easy",4.62513385500006
95623715,"17_InitNumber","easy",2.98649115700005
95623715,"13_Sampling","easy",11.6675151740001
95623715,"7_Number","easy",2.52792488399996
95623715,"18_Stability","easy",5.55354010499991
95623715,"15_Number","easy",4.61113849899994
95623715,"19_Pattern","easy",10.1699716580001
95623715,"20_Stability","easy",19.714178421
95623715,"11_InitSorted","easy",12.3309342019998
75333214,"9_InitNumber","easy",2.00016515400057
75333214,"18_Stability","easy",8.42555094599993
75333214,"17_InitNumber","easy",3.89818195400039
75333214,"15_Number","easy",10.4583168159998
75333214,"11_InitSorted","easy",13.393581581
75333214,"16_Number","easy",3.90569241200046
75333214,"10_Stability","easy",7.10459854700002
75333214,"13_Sampling","easy",9.65809304899994
75333214,"20_Stability","easy",23.9394084689993
75333214,"12_Number","easy",1.70774467199954
75333214,"7_Number","easy",2.61943897400033
75333214,"8_Number","easy",6.35444047500005
75333214,"19_Pattern","easy",14.2976792429999
75333214,"14_Stability","easy",7.47410054800002
50687108,"32_Stability","easy",4.26437740899996
50687108,"22_Number","easy",3.3292319919999
50687108,"34_Stability","easy",12.7374834369998
50687108,"35_Distance","easy",9.99325578200023
50687108,"30_Number","easy",0.46580241699985
50687108,"33_Pattern","easy",9.08248564099995
50687108,"28_Stability","easy",11.827277073
50687108,"29_Number","easy",0.938728731000083
50687108,"21_Number","easy",2.59414565399993
50687108,"25_InitSorted","easy",18.7532406389996
50687108,"31_InitNumber","easy",1.60932540500016
50687108,"27_Sampling","easy",1.94616858300014
50687108,"26_Number","easy",2.19335763900017
50687108,"36_Distance","easy",8.16116771899988
50687108,"23_InitNumber","easy",1.88051729699964
50687108,"24_Stability","easy",4.36237425899981
90990113,"18_Stability","easy",6.86349571900064
90990113,"20_Stability","easy",19.2666501660005
90990113,"8_Number","easy",5.32251337300022
90990113,"12_Number","easy",2.82667182299974
90990113,"7_Number","easy",1.50500608199945
90990113,"19_Pattern","easy",12.4652481439998
90990113,"15_Number","easy",4.68037450999964
90990113,"17_InitNumber","easy",7.43952602399986
90990113,"16_Number","easy",4.02545858600024
90990113,"11_InitSorted","easy",11.1304766620005
90990113,"10_Stability","easy",3.45709759900001
90990113,"14_Stability","easy",9.86645639499966
90990113,"13_Sampling","easy",9.29858493499978
90990113,"9_InitNumber","easy",5.48985366900069
66340327,"34_Stability","easy",11.8020591469995
66340327,"31_InitNumber","easy",0.961682667000787
66340327,"26_Number","easy",2.13001164099842
66340327,"25_InitSorted","easy",13.4907401649998
66340327,"22_Number","easy",1.51484986600008
66340327,"32_Stability","easy",8.17878565599858
66340327,"27_Sampling","easy",2.14694764300111
66340327,"28_Stability","easy",10.7375504070005
66340327,"29_Number","easy",1.27474097300001
66340327,"30_Number","easy",1.09749887500038
66340327,"21_Number","easy",1.07464144899859
66340327,"23_InitNumber","easy",1.40914715299914
66340327,"24_Stability","easy",4.66673599700152
66340327,"36_Distance","easy",11.0400607819993
66340327,"33_Pattern","easy",8.45636115600064
66340327,"35_Distance","easy",10.217643222999
26962873,"15_Number","easy",5.53756646299917
26962873,"19_Pattern","easy",25.1062265979999
26962873,"8_Number","easy",6.32805196800109
26962873,"20_Stability","easy",23.9044739609999
26962873,"13_Sampling","easy",9.92204640199998
26962873,"12_Number","easy",3.08011793699916
26962873,"9_InitNumber","easy",1.49107981899942
26962873,"7_Number","easy",4.18505669399929
26962873,"10_Stability","easy",6.53808262700113
26962873,"11_InitSorted","easy",14.3781210329998
26962873,"18_Stability","easy",5.73978721300045
26962873,"16_Number","easy",2.41079679799986
26962873,"17_InitNumber","easy",4.42730390799989
26962873,"14_Stability","easy",5.74712933099909
41470889,"32_Stability","easy",4.81827918700219
41470889,"22_Number","easy",1.05841534700085
41470889,"34_Stability","easy",10.1792581150003
41470889,"35_Distance","easy",8.21034172900181
41470889,"30_Number","easy",0.634241643001587
41470889,"33_Pattern","easy",6.3137588699974
41470889,"28_Stability","easy",16.6108182639982
41470889,"29_Number","easy",0.762099871000828
41470889,"21_Number","easy",2.43482783799845
41470889,"25_InitSorted","easy",13.0501877620009
41470889,"31_InitNumber","easy",1.36178795600063
41470889,"27_Sampling","easy",2.25635705600143
41470889,"26_Number","easy",2.14571249100118
41470889,"36_Distance","easy",6.74702001900005
41470889,"23_InitNumber","easy",1.08313797200026
41470889,"24_Stability","easy",4.18604781400063
11547421,"17_InitNumber","easy",1.24250445900179
11547421,"10_Stability","easy",4.55412907799837
11547421,"9_InitNumber","easy",1.7471135099986
11547421,"14_Stability","easy",6.94587359900106
11547421,"19_Pattern","easy",8.87286688799941
11547421,"18_Stability","easy",7.01757137200184
11547421,"7_Number","easy",1.40191225200033
11547421,"16_Number","easy",3.66567589499755
11547421,"11_InitSorted","easy",9.56775738799843
11547421,"8_Number","easy",3.94585789300254
11547421,"15_Number","easy",2.5299683129997
11547421,"12_Number","easy",2.21748446900165
11547421,"20_Stability","easy",24.0912702549977
11547421,"13_Sampling","easy",9.49052965700321
29558286,"22_Number","easy",1.94999829500011
29558286,"23_InitNumber","easy",2.71917658199527
29558286,"31_InitNumber","easy",1.52976672699879
29558286,"28_Stability","easy",10.3535235439995
29558286,"32_Stability","easy",8.11485567199998
29558286,"26_Number","easy",3.70667685599619
29558286,"24_Stability","easy",10.8256101000006
29558286,"30_Number","easy",1.37021466399892
29558286,"35_Distance","easy",12.9301726990016
29558286,"34_Stability","easy",26.4318003150038
29558286,"21_Number","easy",2.73008850600309
29558286,"33_Pattern","easy",10.38696299
29558286,"27_Sampling","easy",3.96161741299875
29558286,"36_Distance","easy",13.3061487480009
29558286,"25_InitSorted","easy",26.9540958669968
29558286,"29_Number","easy",2.54526151299797
36605881,"32_Stability","easy",10.840562176
36605881,"22_Number","easy",4.77798923499995
36605881,"34_Stability","easy",26.8738798660002
36605881,"35_Distance","easy",17.194568484
36605881,"30_Number","easy",3.24239611600001
36605881,"33_Pattern","easy",14.1295162609999
36605881,"28_Stability","easy",51.0018055109999
36605881,"29_Number","easy",2.83401315799983
36605881,"21_Number","easy",3.40216816200018
36605881,"25_InitSorted","easy",13.0907007290002
36605881,"31_InitNumber","easy",2.19386862700003
36605881,"27_Sampling","easy",3.7863474869996
36605881,"26_Number","easy",3.84170097200013
36605881,"36_Distance","easy",14.625020466
36605881,"23_InitNumber","easy",2.48186419700005
36605881,"24_Stability","easy",10.730989784
64764501,"34_Stability","easy",24.0237007940013
64764501,"28_Stability","easy",24.0663755059941
64764501,"30_Number","easy",1.7073956029999
64764501,"22_Number","easy",2.60911795900029
64764501,"31_InitNumber","easy",3.23860684400279
