"id","Friction_Level","Gender","Age","Tower_Type","Difficulty","Time"
"63276094","High","Male","18-21","10 Horizontal",4,60
"37751379","Low","Male","18-21","10 Horizontal",4,90
"78738374","Low","Male ","18-21","10 Horizontal",3,35
"53010697","Low","Female","22-25","10 Horizontal",4,480
"12523894","High","Female","18-21","10 Horizontal",7,75
"61167533","Low","Female","18-21","10 Horizontal",2,60
"56609010","Low","Female","18-21","10 Horizontal",7,165
"41684719","Low","Male","18-21","10 Horizontal",7,240
"29912987","High","Female","18-21","10 Horizontal",5,45
"63765461","High","Female","18-21","10 Horizontal",4,150
"45338874","High","Female","18-21","10 Horizontal",9,480
"70386245","High","Male","22-25","10 Horizontal",3,40
"35207737","High","Female","18-21","10 Horizontal",1,20
"82493764","Low","Male","18-21","10 Horizontal",3,150
"89751437","High","Female","18-21","10 Horizontal",6,300
"43205188","High","Male","41-45","10 Vertical",7,300
"92604790","Low","Female","18-21","10 Vertical",9,360
"80075120","High","Female","26-30","10 Vertical",6,60
"67121004","Low","Female","22-25","10 Vertical",7,180
"13976819","Low","Female","18-21","10 Vertical",8,360
"21374483","High","Female","18-21","10 Vertical",3,180
"39791663","Low","Male","18-21","10 Vertical",8,300
"24027787","High","Male","18-21","10 Vertical",7,150
"91626975","High","Female","18-21","10 Vertical",6,180
"41260218","High","Female","18-21","10 Vertical",6,45
"41695379","Low","Female","18-21","10 Vertical",10,900
"94013566","High","Male","18-21","10 Vertical",5,95
"29609510","High","Female","18-21","10 Vertical",8,600
"58153014","Low","Female ","18-21","10 Vertical",10,2400
"24224636","High","Female","18-21","10 Vertical",10,900
"40092175","Low","Male","18-21","10 Vertical",10,4200
"19927848","Low","Female","18-21","10 Vertical",8,180
"87545205","Low","Female","18-21","10 Vertical",9,270
"29681170","High","Female","18-21","10 Vertical",8,90
"47086925","Low","Male","22-25","10 Vertical",10,900
"61385450","Low","Male","18-21","10 Vertical",10,2400
"74761242","High","Female","18-21","10 Vertical",9,240
"43974880","High","Female","18-21","10 Vertical",9,240
"67637968","Low","Female","18-21","10 Vertical",6,120
"86162389","Low","Male","18-21","10 Vertical",9,240
"63276094","High","Male","18-21","10 Vertical",8,150
"37751379","Low","Male","18-21","10 Vertical",9,420
"78738374","Low","Male ","18-21","10 Vertical",5,50
"53010697","Low","Female","22-25","10 Vertical",10,3600
"12523894","High","Female","18-21","10 Vertical",8,180
"61167533","Low","Female","18-21","10 Vertical",10,180
"56609010","Low","Female","18-21","10 Vertical",9,283
"41684719","Low","Male","18-21","10 Vertical",10,900
