"trial","order","faster","counterbalancing","gender","age","school","condition","id","correct","ageBin"
"Number4",1,"NA",2,"F",7,2,"Simple","72193761",1,"5-8"
"Process1",7,"incorrect",2,"F",7,2,"Complex","72193761",0,"5-8"
"Process2",6,"correct",2,"F",7,2,"Complex","72193761",0,"5-8"
"Number&Stability",5,"NA",2,"F",7,2,"Simple","72193761",1,"5-8"
"Pattern",10,"NA",2,"F",7,2,"Complex","72193761",1,"5-8"
"Probability",9,"correct",2,"F",7,2,"Complex","72193761",0,"5-8"
"Stability",8,"NA",2,"F",7,2,"Simple","72193761",1,"5-8"
"Number1",1,"incorrect",1,"F",8,3,"Simple","30837274",0,"5-8"
"Number2",2,"incorrect",1,"F",8,3,"Simple","30837274",0,"5-8"
"Number3",3,"incorrect",1,"F",8,3,"Simple","30837274",0,"5-8"
"Number4",4,"incorrect",1,"F",8,3,"Simple","30837274",0,"5-8"
"Process1",5,"NA",1,"F",8,3,"Complex","30837274",1,"5-8"
"Process2",6,"correct",1,"F",8,3,"Complex","30837274",0,"5-8"
"Number&Stability",7,"NA",1,"F",8,3,"Simple","30837274",1,"5-8"
"Pattern",8,"correct",1,"F",8,3,"Complex","30837274",0,"5-8"
"Probability",9,"NA",1,"F",8,3,"Complex","30837274",1,"5-8"
"Stability",10,"correct",1,"F",8,3,"Simple","30837274",0,"5-8"
"Number1",4,"NA",2,"F",11,5,"Simple","13039140",1,"9-13"
"Number2",3,"incorrect",2,"F",11,5,"Simple","13039140",0,"9-13"
"Number3",2,"NA",2,"F",11,5,"Simple","13039140",1,"9-13"
"Number4",1,"NA",2,"F",11,5,"Simple","13039140",1,"9-13"
"Process1",7,"incorrect",2,"F",11,5,"Complex","13039140",0,"9-13"
"Process2",6,"incorrect",2,"F",11,5,"Complex","13039140",0,"9-13"
"Number&Stability",5,"incorrect",2,"F",11,5,"Simple","13039140",0,"9-13"
"Pattern",10,"incorrect",2,"F",11,5,"Complex","13039140",0,"9-13"
"Probability",9,"incorrect",2,"F",11,5,"Complex","13039140",0,"9-13"
"Stability",8,"NA",2,"F",11,5,"Simple","13039140",1,"9-13"
"Number1",1,"incorrect",1,"M",10,1,"Simple","22400576",0,"9-13"
"Number2",2,"NA",1,"M",10,1,"Simple","22400576",1,"9-13"
"Number3",3,"NA",1,"M",10,1,"Simple","22400576",1,"9-13"
"Number4",4,"NA",1,"M",10,1,"Simple","22400576",1,"9-13"
"Process1",5,"NA",1,"M",10,1,"Complex","22400576",1,"9-13"
"Process2",6,"NA",1,"M",10,1,"Complex","22400576",1,"9-13"
"Number&Stability",7,"NA",1,"M",10,1,"Simple","22400576",1,"9-13"
"Pattern",8,"NA",1,"M",10,1,"Complex","22400576",1,"9-13"
"Probability",9,"NA",1,"M",10,1,"Complex","22400576",1,"9-13"
"Stability",10,"incorrect",1,"M",10,1,"Simple","22400576",0,"9-13"
"Number1",4,"NA",2,"F",8,2,"Simple","54762314",1,"5-8"
"Number2",3,"incorrect",2,"F",8,2,"Simple","54762314",0,"5-8"
"Number3",2,"incorrect",2,"F",8,2,"Simple","54762314",0,"5-8"
"Number4",1,"NA",2,"F",8,2,"Simple","54762314",1,"5-8"
"Process1",7,"NA",2,"F",8,2,"Complex","54762314",1,"5-8"
"Process2",6,"NA",2,"F",8,2,"Complex","54762314",1,"5-8"
"Number&Stability",5,"NA",2,"F",8,2,"Simple","54762314",1,"5-8"
"Pattern",10,"NA",2,"F",8,2,"Complex","54762314",1,"5-8"
"Probability",9,"incorrect",2,"F",8,2,"Complex","54762314",0,"5-8"
"Stability",8,"NA",2,"F",8,2,"Simple","54762314",1,"5-8"
"Number1",1,"NA",1,"M",10,4,"Simple","52372181",1,"9-13"
"Number2",2,"incorrect",1,"M",10,4,"Simple","52372181",0,"9-13"
"Number3",3,"incorrect",1,"M",10,4,"Simple","52372181",0,"9-13"
"Number4",4,"incorrect",1,"M",10,4,"Simple","52372181",0,"9-13"
"Process1",5,"NA",1,"M",10,4,"Complex","52372181",1,"9-13"
"Process2",6,"NA",1,"M",10,4,"Complex","52372181",1,"9-13"
"Number&Stability",7,"NA",1,"M",10,4,"Simple","52372181",1,"9-13"
"Pattern",8,"incorrect",1,"M",10,4,"Complex","52372181",0,"9-13"
"Probability",9,"incorrect",1,"M",10,4,"Complex","52372181",0,"9-13"
"Stability",10,"NA",1,"M",10,4,"Simple","52372181",1,"9-13"
"Number1",1,"NA",1,"F",8,3,"Simple","96789347",1,"5-8"
"Number2",2,"correct",1,"F",8,3,"Simple","96789347",0,"5-8"
"Number3",3,"NA",1,"F",8,3,"Simple","96789347",1,"5-8"
"Number4",4,"correct",1,"F",8,3,"Simple","96789347",0,"5-8"
"Process1",5,"NA",1,"F",8,3,"Complex","96789347",1,"5-8"
"Process2",6,"correct",1,"F",8,3,"Complex","96789347",0,"5-8"
"Number&Stability",7,"NA",1,"F",8,3,"Simple","96789347",1,"5-8"
"Pattern",8,"correct",1,"F",8,3,"Complex","96789347",0,"5-8"
"Probability",9,"NA",1,"F",8,3,"Complex","96789347",1,"5-8"
"Stability",10,"NA",1,"F",8,3,"Simple","96789347",1,"5-8"
"Number1",1,"NA",1,"F",12,3,"Simple","90272962",1,"9-13"
"Number2",2,"incorrect",1,"F",12,3,"Simple","90272962",0,"9-13"
"Number3",3,"correct",1,"F",12,3,"Simple","90272962",0,"9-13"
"Number4",4,"incorrect",1,"F",12,3,"Simple","90272962",0,"9-13"
"Process1",5,"NA",1,"F",12,3,"Complex","90272962",1,"9-13"
"Process2",6,"NA",1,"F",12,3,"Complex","90272962",1,"9-13"
"Number&Stability",7,"NA",1,"F",12,3,"Simple","90272962",1,"9-13"
"Pattern",8,"NA",1,"F",12,3,"Complex","90272962",1,"9-13"
"Probability",9,"NA",1,"F",12,3,"Complex","90272962",1,"9-13"
"Stability",10,"incorrect",1,"F",12,3,"Simple","90272962",0,"9-13"
"Number1",4,"NA",2,"M",7,2,"Simple","45784750",1,"5-8"
"Number2",3,"NA",2,"M",7,2,"Simple","45784750",1,"5-8"
"Number3",2,"NA",2,"M",7,2,"Simple","45784750",1,"5-8"
"Number4",1,"correct",2,"M",7,2,"Simple","45784750",0,"5-8"
"Process1",7,"correct",2,"M",7,2,"Complex","45784750",0,"5-8"
"Process2",6,"NA",2,"M",7,2,"Complex","45784750",1,"5-8"
"Number&Stability",5,"NA",2,"M",7,2,"Simple","45784750",1,"5-8"
"Pattern",10,"NA",2,"M",7,2,"Complex","45784750",1,"5-8"
"Probability",9,"correct",2,"M",7,2,"Complex","45784750",0,"5-8"
"Stability",8,"correct",2,"M",7,2,"Simple","45784750",0,"5-8"
