trial_name,run_num,trial_tree_path,trial_symbolic_plan,trial_symbolic_plan_len,KE,total_instability
diff 16_2,1,1_1_14_1_13_1_12_1_11_1_10_1_9_1_8_1_7_1_6_1_5_1_4_1_3_1_2_1_1_1,"[[GL b0], [FL b0 table], [GL b1], [FL b1 table], [GL b14], [FL b14 table], [GL b2], [FL b2 table], [GR b3], [FR b3 table], [GR b4], [FR b4 table], [GL b13], [FL b13 table], [GL b12], [FL b12 table], [GR b9], [FR b9 table], [GR b8], [FR b8 table], [GL b11], [FL b11 table], [GR b7], [FR b7 table], [GL b10], [FL b10 table], [GR b6], [FR b6 table], [GR b5], [FR b5 table]]",30,578.557,0
diff 27_1,1,1_1_2_1_1_1,"[[GR c15], [FR c15 table], [GR c3], [FR c3 table], [GR c5], [FR c5 c15]]",6,125.9162,0
diff 8_2,1,1_1_14_1_13_1_12_1_11_1_10_1_9_1_10_1_9_1_8_1_7_1_8_1_7_1_6_1_5_1_4_1_3_1_2_1_1_1,"[[GL b5], [FL b5 table], [GL b0], [FL b0 table], [GR b10], [FR b10 table], [GL b6], [FL b6 b5], [GR b1], [FR b1 b0], [GR b11], [FR b11 b10], [GL b7], [FL b7 b6], [GL b6], [FL b6 b5], [GL b7], [FL b7 b6], [GL b2], [FL b2 b1], [GR b12], [FR b12 b11], [GR b11], [FR b11 b10], [GR b12], [FR b12 b11], [GL b8], [FL b8 b7], [GL b3], [FL b3 b2], [GR b13], [FR b13 b12], [GL b9], [FL b9 b8], [GL b4], [FL b4 b3], [GR b14], [FR b14 b13]]",38,752.60494,2
diff 27_2,1,1_1_2_1_1_1,"[[GR c2], [FR c2 table], [GR c4], [FR c4 table], [GR c1], [FR c1 c4]]",6,118.9912,0
diff 29_1,1,1_1_2_1_1_1,"[[GR b2], [FR b2 table], [GR b1], [FR b1 table], [GL b0], [FL b0 table]]",6,115.5279,0
diff 30_1,1,1_1_2_1_1_1,"[[GL b0], [FL b0 table], [GL b1], [FL b1 table], [GR b2], [FR b2 table]]",6,115.5702,0
diff 14_2,1,1_1_9_1_8_1_9_1_8_1_7_1_8_1_7_1_6_1_5_1_4_1_3_1_8_1_7_1_6_1_8_1_7_1_6_1_8_1_7_1_6_1_5_1_4_1_8_1_8_1,"[[GR b0], [FR b0 table], [GL b1], [FL b1 b0], [GL b2], [FL b2 b1], [GL b1], [FL b1 b0], [GL b2], [FL b2 b1], [GR b3], [FR b3 b2], [GR b2], [FR b2 b1], [GR b3], [FR b3 b2], [GL b4], [FL b4 b3], [GL b5], [FL b5 b4], [GR b6], [FR b6 b5], [GR b7], [FR b7 b6], [GL b2], [FL b2 b1], [GL b3], [FL b3 b2], [GL b4], [FL b4 b3], [GR b2], [FR b2 b1], [GR b3], [FR b3 b2], [GR b4], [FR b4 b3], [GL b2], [FL b2 b1], [GR b3], [FR b3 b2], [GR b4], [FR b4 b3], [GL b5], [FL b5 b4], [GL b6], [FL b6 b5], [GL b2], [FL b2 b1], [GR b2], [FR b2 b1]]",50,1009.34835,9
diff 21_2,1,1_1_13_1_12_1_11_1_10_1_9_1_8_1_7_1_6_1_5_1_4_1_3_1_2_1_1_1,"[[GL b9], [FL b9 table], [GL b12], [FL b12 table], [GR b13], [FR b13 table], [GL b8], [FL b8 table], [GR b4], [FR b4 table], [GL b7], [FL b7 table], [GR b3], [FR b3 table], [GL b6], [FL b6 table], [GR b2], [FR b2 table], [GL b5], [FL b5 table], [GR b1], [FR b1 table], [GL b10], [FL b10 table], [GR b11], [FR b11 table], [GR b0], [FR b0 table]]",28,616.12353,0
diff 25_1,1,1_1_11_1_10_1_9_1_8_1_7_1_6_1_5_1_4_1_3_1_2_1_1_1,"[[GL b1], [FL b1 table], [GL b0], [FL b0 table], [GL b2], [FL b2 table], [GL b5], [FL b5 table], [GL b3], [FL b3 table], [GR c5], [FR c5 table], [GL b4], [FL b4 table], [GR c4], [FR c4 table], [GR c0], [FR c0 table], [GR c3], [FR c3 table], [GR c1], [FR c1 table], [GR c2], [FR c2 table]]",24,562.94755,1
diff 25_2,1,1_1_11_1_10_1_9_1_8_1_7_1_6_1_5_1_4_1_3_1_2_1_1_1,"[[GL b1], [FL b1 table], [GL b0], [FL b0 table], [GL b2], [FL b2 table], [GL b5], [FL b5 table], [GL b3], [FL b3 table], [GR c5], [FR c5 table], [GL b4], [FL b4 table], [GR c4], [FR c4 table], [GL c0], [FL c0 table], [GR c3], [FR c3 table], [GR c1], [FR c1 table], [GR c2], [FR c2 table]]",24,535.30939,1
